ItemName,ItemName_Japanese,ItemType,Bonus_Stats,Craft_Location,NPC_or_Facility,Materials,Skill_Rank,Contribution_Cost,Unlock_Conditions,Tradable_Bound,Notes,Data_Status,Source_URLs,Added_In_This_Version,Review_Priority
Spain Navy Junior Officer Uniform,イスパニア海軍尉官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 15; Durability 50; fame 150000; Command +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce,Tweed x30; Gold Thread x20; Premium Dye x2,Sewing 1 in recipe source; no skill needed when crafted in Florence,Sewing contribution 600,Royal Fleet achievement 20000 points; Navy Ensign or above (from boost source),Not specified publicly,Country variant of Roberta's navy junior officer uniform recipe.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://w.atwiki.jp/wiki11_dol/pages/53.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
England Navy Junior Officer Uniform,イングランド海軍尉官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 15; Durability 50; fame 150000; Command +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce,Tweed x30; Gold Thread x20; Premium Dye x2,Sewing 1 in recipe source; no skill needed when crafted in Florence,Sewing contribution 600,Royal Fleet achievement 20000 points; Navy Ensign or above (from boost source),Not specified publicly,Country variant of Roberta's navy junior officer uniform recipe.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://w.atwiki.jp/wiki11_dol/pages/53.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Ottoman Turkish Navy Junior Officer Uniform,オスマントルコ海軍尉官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 15; Durability 50; fame 150000; Command +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce,Tweed x30; Gold Thread x20; Premium Dye x2,Sewing 1 in recipe source; no skill needed when crafted in Florence,Sewing contribution 600,Royal Fleet achievement 20000 points; Navy Ensign or above (from boost source),Not specified publicly,Country variant of Roberta's navy junior officer uniform recipe.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://w.atwiki.jp/wiki11_dol/pages/53.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Netherlands Navy Junior Officer Uniform,ネーデルラント海軍尉官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 15; Durability 50; fame 150000; Command +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce,Tweed x30; Gold Thread x20; Premium Dye x2,Sewing 1 in recipe source; no skill needed when crafted in Florence,Sewing contribution 600,Royal Fleet achievement 20000 points; Navy Ensign or above (from boost source),Not specified publicly,Country variant of Roberta's navy junior officer uniform recipe.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://w.atwiki.jp/wiki11_dol/pages/53.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
France Navy Junior Officer Uniform,フランス海軍尉官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 15; Durability 50; fame 150000; Command +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce,Tweed x30; Gold Thread x20; Premium Dye x2,Sewing 1 in recipe source; no skill needed when crafted in Florence,Sewing contribution 600,Royal Fleet achievement 20000 points; Navy Ensign or above (from boost source),Not specified publicly,Country variant of Roberta's navy junior officer uniform recipe.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://w.atwiki.jp/wiki11_dol/pages/53.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Venice Navy Junior Officer Uniform,ヴェネツィア海軍尉官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 15; Durability 50; fame 150000; Command +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce,Tweed x30; Gold Thread x20; Premium Dye x2,Sewing 1 in recipe source; no skill needed when crafted in Florence,Sewing contribution 600,Royal Fleet achievement 20000 points; Navy Ensign or above (from boost source),Not specified publicly,Country variant of Roberta's navy junior officer uniform recipe.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://w.atwiki.jp/wiki11_dol/pages/53.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Portugal Navy Field Officer Uniform,ポルトガル海軍佐官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 20; Durability 50; fame 175000; Command +2; Gunfire +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 14 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 34000 points; Navy Major or above (from boost source),Not specified publicly,Added from skill-boost source because the previous file did not include the whole field-officer set.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Spain Navy Field Officer Uniform,イスパニア海軍佐官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 20; Durability 50; fame 175000; Command +2; Gunfire +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 14 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 34000 points; Navy Major or above (from boost source),Not specified publicly,Added from skill-boost source because the previous file did not include the whole field-officer set.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
England Navy Field Officer Uniform,イングランド海軍佐官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 20; Durability 50; fame 175000; Command +2; Gunfire +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 14 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 34000 points; Navy Major or above (from boost source),Not specified publicly,Added from skill-boost source because the previous file did not include the whole field-officer set.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Ottoman Turkish Navy Field Officer Uniform,オスマントルコ海軍佐官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 20; Durability 50; fame 175000; Command +2; Gunfire +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 14 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 34000 points; Navy Major or above (from boost source),Not specified publicly,Added from skill-boost source because the previous file did not include the whole field-officer set.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Netherlands Navy Field Officer Uniform,ネーデルラント海軍佐官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 20; Durability 50; fame 175000; Command +2; Gunfire +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 14 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 34000 points; Navy Major or above (from boost source),Not specified publicly,Added from skill-boost source because the previous file did not include the whole field-officer set.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
France Navy Field Officer Uniform,フランス海軍佐官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 20; Durability 50; fame 175000; Command +2; Gunfire +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 14 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 34000 points; Navy Major or above (from boost source),Not specified publicly,Added from skill-boost source because the previous file did not include the whole field-officer set.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Venice Navy Field Officer Uniform,ヴェネツィア海軍佐官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 20; Durability 50; fame 175000; Command +2; Gunfire +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 14 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 34000 points; Navy Major or above (from boost source),Not specified publicly,Added from skill-boost source because the previous file did not include the whole field-officer set.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Portugal Navy Admiral Uniform,ポルトガル海軍将官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 25; Durability 50; fame 200000; Command +3; Gunfire +2; Steering +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 15 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 48000 points; Rear Admiral or above (from boost source),Not specified publicly,Added from skill-boost sources; this set was incomplete in the previous file.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://w.atwiki.jp/wiki11_dol/pages/13.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Spain Navy Admiral Uniform,イスパニア海軍将官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 25; Durability 50; fame 200000; Command +3; Gunfire +2; Steering +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 15 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 48000 points; Rear Admiral or above (from boost source),Not specified publicly,Added from skill-boost sources; this set was incomplete in the previous file.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://w.atwiki.jp/wiki11_dol/pages/13.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
England Navy Admiral Uniform,イングランド海軍将官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 25; Durability 50; fame 200000; Command +3; Gunfire +2; Steering +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 15 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 48000 points; Rear Admiral or above (from boost source),Not specified publicly,Added from skill-boost sources; this set was incomplete in the previous file.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://w.atwiki.jp/wiki11_dol/pages/13.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Netherlands Navy Admiral Uniform,ネーデルラント海軍将官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 25; Durability 50; fame 200000; Command +3; Gunfire +2; Steering +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 15 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 48000 points; Rear Admiral or above (from boost source),Not specified publicly,Added from skill-boost sources; this set was incomplete in the previous file.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://w.atwiki.jp/wiki11_dol/pages/13.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
France Navy Admiral Uniform,フランス海軍将官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 25; Durability 50; fame 200000; Command +3; Gunfire +2; Steering +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 15 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 48000 points; Rear Admiral or above (from boost source),Not specified publicly,Added from skill-boost sources; this set was incomplete in the previous file.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://w.atwiki.jp/wiki11_dol/pages/13.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Venice Navy Admiral Uniform,ヴェネツィア海軍将官服,Body equipment - Royal navy uniform,Attack 5; Defense 20; Formality 25; Durability 50; fame 200000; Command +3; Gunfire +2; Steering +1,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce (exact recipe line not recovered in GVDB),Materials not found in retrieved public source; likely Florence sewing recipe line needs in-game check,Sewing 15 listed by boost source; no skill needed when crafted in Florence,Contribution not retrieved,Royal Fleet achievement 48000 points; Rear Admiral or above (from boost source),Not specified publicly,Added from skill-boost sources; this set was incomplete in the previous file.,Confirmed bonus; materials need verification,https://w.atwiki.jp/wiki11_dol/pages/53.html | https://w.atwiki.jp/wiki11_dol/pages/102.html | https://w.atwiki.jp/wiki11_dol/pages/13.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Noble Gown,,Body equipment,Skill bonus not confirmed; likely formal/stat equipment only; verify item tooltip in game,Other city NPC production / Basic Sewing (no owned recipe book),London Shopkeeper / Barmaid production,Velvet x20; Gold Thread x20; Fine Fur x5,Sewing rank 10,No Florence contribution; NPC production,,Not specified publicly,Added because Basic Sewing shows this as London NPC production; not found as a +skill booster in the checked boost lists.,Recipe confirmed; bonus needs verification / likely no +skill,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing,Audit_2026-05-13_v3_other_cities,Medium
Noble Hat,,Head equipment,Skill bonus not confirmed; likely formal/stat equipment only; verify item tooltip in game,Other city NPC production / Basic Sewing (no owned recipe book),London Shopkeeper / Barmaid production,Feathers x15; Felt x20; Embroidery Thread x15,Sewing rank 10,No Florence contribution; NPC production,,Not specified publicly,Added because Basic Sewing shows this as London NPC production; not found as a +skill booster in the checked boost lists.,Recipe confirmed; bonus needs verification / likely no +skill,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing,Audit_2026-05-13_v3_other_cities,Medium
Noble Dress,,Body equipment,Skill bonus not confirmed; likely formal/stat equipment only; verify item tooltip in game,Other city NPC production / Basic Sewing (no owned recipe book),Marseilles Shopkeeper / Barmaid production,Velvet x20; Gold Thread x20; Fine Fur x5,Sewing rank 10,No Florence contribution; NPC production,,Not specified publicly,Added because Basic Sewing shows this as Marseilles NPC production; not found as a +skill booster in the checked boost lists.,Recipe confirmed; bonus needs verification / likely no +skill,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing,Audit_2026-05-13_v3_other_cities,Medium
Noble Coronet,,Head equipment,Skill bonus not confirmed; likely formal/stat equipment only; verify item tooltip in game,Other city NPC production / Basic Sewing (no owned recipe book),Marseilles Shopkeeper / Barmaid production,Georgette Fabric x10; Goldwork x10; Jewellery x10,Sewing rank 10,No Florence contribution; NPC production,,Not specified publicly,Added because Basic Sewing shows this as Marseilles NPC production; not found as a +skill booster in the checked boost lists.,Recipe confirmed; bonus needs verification / likely no +skill,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing,Audit_2026-05-13_v3_other_cities,Medium
Casco Panache / Feather Casco,,Head equipment,Bonus/stats need verification,Other city NPC production / Basic Sewing / Special Production,Portobelo Shopkeeper,Feathers x30; Maya Blue x20; Mulberry x20,Sewing rank 12,No Florence contribution; NPC production,,Not specified publicly,Listed as Casco Panache in Special Production and Feather Casco in Basic Sewing search result wording.,Recipe confirmed; bonus needs verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,High
Poncho-style Huipl,,Body equipment,Collection +1 (confirmed by dbgames Collection skill page); other stats need verification,Other city NPC production / Basic Sewing,Veracruz Shopkeeper,Cochineal x20; Cotton Fabric x30; Embroidery Thread x30,Sewing rank 15,No Florence contribution; NPC production,,Not specified publicly,Basic Sewing lists the Veracruz recipe; dbgames Collection skill page lists Poncho-style Huipl as Collection +1.,Confirmed bonus + confirmed NPC special recipe,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://dbgames.info/uwo/skills/Collection,Audit_2026-05-13_v3_other_cities,High
Alpine Resident Clothes,,Body equipment,Durability 40; Defense 10; Dye Trading +1,Other city NPC production / Basic Sewing,Calcutta Shopkeeper,Woollen Fabric x20; Felt x40; Fine Dye x1,Sewing rank 17,No Florence contribution; NPC production,,Plunderable: Yes (per dbgames item page); museum exhibit: No,dbgames item page confirms Produced by recipe Making Alpine Clothing and Dye Trading +1.,Confirmed bonus + confirmed NPC recipe,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://dbgames.info/uwo/items/Alpine_Resident_Clothes | https://dbgames.info/uwo/skills/Dye_Trading,Audit_2026-05-13_v3_other_cities,High
Alpine Resident Hat,,Head equipment,Bonus/stats need verification,Other city NPC production / Basic Sewing,Calcutta Shopkeeper,Woollen Fabric x20; Felt x20; Fine Dye x1,Sewing rank 17,No Florence contribution; NPC production,,Not specified publicly,Basic Sewing confirms the Calcutta recipe; exact skill bonus was not found in searched public booster pages.,Recipe confirmed; bonus needs verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing,Audit_2026-05-13_v3_other_cities,Medium
Processed Iron,,Material / shipbuilding part material,No skill bonus; material used in shipbuilding/crafting,Other city NPC Special Production / Basic Casting,Ragusa/Trieste/Ceuta Shipwright,Iron x30,Casting rank 6,No Florence contribution; NPC production,,Not specified publicly,Added/updated from Basic Casting and Special Production pages; this is outside Florence/Chamber list.,"Recipe confirmed; material/tool, not a +skill equipment",https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Set of Dismantling Tools,,Tool / ship equipment utility,Use/effect needs verification; no +skill found,Other city NPC Special Production / Basic Casting,Trebizond Shipwright,Lumber x20; Carpentry Tools x10; The Drill of Destruction x20,Casting rank 8,No Florence contribution; NPC production,,Not specified publicly,Added/updated from Basic Casting and Special Production pages; this is outside Florence/Chamber list.,Recipe confirmed; tool effect needs verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Modified Light Gun Port,,Ship part / gun port,Ship-part stats need verification,Other city NPC Special Production / Basic Casting,Amsterdam Weaponsmith,Iron x20; Lumber x20,Casting rank 5,No Florence contribution; NPC production,,Not specified publicly,Added/updated from Basic Casting and Special Production pages; this is outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Custom Cannon 14,,Cannon / ship weapon,Cannon stats need verification; enhanced/custom 14-gun cannon recipe,Other city NPC Special Production / Basic Casting,Skilled Caster: Trujillo/Cayenne/Willemstad/Grand Cayman/Pernambuco/Caracas (source says some to be confirmed),Cannon x29; Cannon Shot x32; Steel x29,Casting rank 13; Firearms Trading rank 5,No Florence contribution; NPC production,,Not specified publicly,Added/updated from Basic Casting and Special Production pages; this is outside Florence/Chamber list.,Recipe confirmed; cannon stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Custom Carronade 14,,Cannon / ship weapon,Cannon stats need verification; enhanced/custom 14-gun carronade recipe,Other city NPC Special Production / Basic Casting,Skilled Caster: Trujillo/Cayenne/Willemstad/Grand Cayman/Pernambuco/Caracas (source says some to be confirmed),Cannon x34; Cannon Shot x36; Steel x34,Casting rank 14; Firearms Trading rank 5,No Florence contribution; NPC production,,Not specified publicly,Added/updated from Basic Casting and Special Production pages; this is outside Florence/Chamber list.,Recipe confirmed; cannon stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Small Latin Sail,,Ship part / auxiliary sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Amsterdam/London/Lisbon/Seville/Venice Sailmaker,Hemp Fabric x10; Lumber x10; Rope x1,Sewing rank 5,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Small Square Sail,,Ship part / auxiliary sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Amsterdam/London/Lisbon/Seville/Venice Sailmaker,Hemp Fabric x10; Lumber x10; Rope x1,Sewing rank 6,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
High Quality Rigging,,Ship part / rigging,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Amsterdam/London/Lisbon/Seville/Venice Sailmaker; Marseilles shopkeeper recipe also listed in snippets,Iron x10; Lumber x20; Rope x1,Sewing rank 5,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Small Gaff Sail,,Ship part / auxiliary sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Amsterdam/London/Lisbon/Seville/Venice Sailmaker,Hemp Fabric x10; Lumber x10; Rope x1,Sewing rank 7,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Medium Latin Sail,,Ship part / auxiliary sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Antwerp/Bergen/Pisa/Ceuta/Valencia/Ragusa/Salonika Sailmaker,Hemp Fabric x20; Lumber x20; Improved Rope x1,Sewing rank 9,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Medium Square Sail,,Ship part / auxiliary sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Antwerp/Bergen/Pisa/Ceuta/Valencia/Ragusa/Salonika Sailmaker,Hemp Fabric x20; Lumber x20; Improved Rope x1,Sewing rank 10,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Medium Gaff Sail,,Ship part / auxiliary sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Antwerp/Bergen/Pisa/Ceuta/Valencia/Ragusa/Salonika Sailmaker,Hemp Fabric x20; Lumber x20; Improved Rope x1,Sewing rank 11,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Large Latin Sail,,Ship part / auxiliary sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Trujillo/Pernambuco/Caracas/Cayenne/Willemstad/Grand Cayman/Busan/Nagasaki/Anping/Hangzhou Sailmaker,Hemp Fabric x30; Processed Lumber x1; Improved Rope x1,Sewing rank 13,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
Large Square Sail,,Ship part / auxiliary sail,Ship-part stats need verification,Other city NPC Special Production / Basic Sewing,Trujillo/Pernambuco/Caracas/Cayenne/Willemstad/Grand Cayman/Busan/Nagasaki/Anping/Hangzhou Sailmaker,Hemp Fabric x30; Processed Lumber x1; Improved Rope x1,Sewing rank 14,No Florence contribution; NPC production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://unchartedwaters.fandom.com/wiki/Special_Production,Audit_2026-05-13_v3_other_cities,Medium
